"Family","Subfamily","Genus","Species","Junior synonyms","Country (type locality)","Subregion","Region","Type locality"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. carmillae, Abrams & Harvey, 2020",NA,"Australia","Australia","Old World","Middle Robe Valley, DD14MRR0004-20150808-T2-01, Pannawonica, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. catho, (Framenau et al. 2018)","Paradraculoides catho, Framenau et al., 2018","Australia","Australia","Old World","Catho Well, ﻿CWRC281P4T2–1, Mt Stuart Station, Pannawonica, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. celatus, (Framenau et al. 2018)","Paradraculoides celatus, Framenau et al., 2018","Australia","Australia","Old World","Kens Bore, ﻿
KBRC039P8T2–5, Pannawonica, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. christopherleei, Abrams & Harvey, 2020",NA,"Australia","Australia","Old World","West Pit, Pannawonica, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. claudiae, Abrams & Harvey, 2020",NA,"Australia","Australia","Old World","Middle Robe Valley, DD14MRR0009-20150808-T2-02, Pannawonica, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. cochranus, (Framenau et al. 2018)","Paradraculoides cochranus, Framenau et al., 2018","Australia","Australia","Old World","Cochrane and Jewell, ﻿
RNRC083P5T1–3, Pannawonica, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. confusus, (Framenau et al. 2018)","Paradraculoides confusus, Framenau et al., 2018","Australia","Australia","Old World","Trinity Bore, ﻿
TBRC014T1, Pannawonica, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. eremius, (Abrams & Harvey 2015)","Paradraculoides eremius, Abrams & Harvey, 2015","Australia","Australia","Old World","Bungaroo, Pannawonica, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. gnophicola, (Harvey et al. 2008)","Paradraculoides gnophicola, Harvey et al. 2008","Australia","Australia","Old World","Mesa G, Borehole 0159, Pannawonica, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. immortalis, Abrams & Harvey, 2020",NA,"Australia","Australia","Old World","""Budgiebore"", Robe Valley, ﻿
Budgiebore-20150604-06, Pannawonica, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. julianneae, Harvey, 2001b","Draculoides vinei, Harvey & Humphreys, 1995 (in part misidentification, specimen from C-215)","Australia","Australia","Old World"," C-215, Cape Range peninsula, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. karenbassettae, Abrams & Harvey, 2020",NA,"Australia","Australia","Old World","Bore scrape, Pannawonica, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. kryptus, (Harvey et al. 2008)","Paradraculoides kryptus, Harvey et al., 2008","Australia","Australia","Old World","Mesa K, Borehole 1685, Pannawonica, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. mckechnieorum, Abrams & Harvey, 2020",NA,"Australia","Australia","Old World","Mesa L, Robe Valley, MELUNK09-20151001-TI-01, Pannawonica, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. mesozeirus, Harvey et al., 2008",NA,"Australia","Australia","Old World","﻿Borehole M2ERC027, Middle Robe, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. minae, Abrams & Harvey, 2020",NA,"Australia","Australia","Old World","Middle Robe Valley, ﻿
CWRC281P4T2–1, Pannawonica, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. neoanthropus, Harvey et al., 2008",NA,"Australia","Australia","Old World","Borehole WO57, Newman, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. noctigrassator, Abrams & Harvey, 2020",NA,"Australia","Australia","Old World","""Dragon"" deposit, Buckland project, Pannawonica, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. nosferatu, Abrams & Harvey, 2020",NA,"Australia","Australia","Old World","Robe Valley, Pannawonica, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. obrutus, (Framenau et al. 2018)","Paradraculoides obrutus, Framenau et al., 2018","Australia","Australia","Old World","Kens Bore, ﻿KBRC023P2T2–1, Pannawonica, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. piscivultus, Abrams & Harvey, 2020",NA,"Australia","Australia","Old World","Bore scrape, Pannawonica, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. trinity, (Framenau et al. 2018)","Paradraculoides trinity, Framenau et al., 2018","Australia","Australia","Old World","Trinity Bore, ﻿TBRC036P3T3–4, Pannawonica, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. vinei, (Harvey 1988)","Schizomus vinei, Harvey, 1988","Australia","Australia","Old World","Shot Pot Cave, C106, Cape Range peninsula, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Draculoides, Harvey 1992","D. warramboo, Abrams & Harvey, 2020",NA,"Australia","Australia","Old World","Warramboo Robe Valley, MEARC3790.20150606-01scD, Pannawonica, Western Australia, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Dumitrescoella, Teruel 2017a","D. decui, (Dumitresco 1977)","Schizomus decui, Dumitresco, 1977; Rowland & Reddell, 1979a; Rowlandius decui, Reddell & Cokendolpher, 1995; Armas, 2001, 2004a, 2013","Cuba","Caribbean","New World","Cueva la Pluma, Matanzas, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Enigmazomus, Harvey 2006","E. eruptoclausus, Harvey, 2006",NA,"Oman","Western Asia","Old World","Qunf Cave, Dhofar, Oman"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Enigmazomus, Harvey 2007","E. benoiti, (Lawrence 1969)","Schizomus benoiti, Lawrence, 1969; Cokendolpher & Reddell, 1995","Somalia","Eastern Africa","Old World","Jubadda Hoose, Jumba, Somalia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Gravelyzomus, Kulkarni 2012","G. chalakudicus, Bastawade, 2002","Schizomus chalakudicus, Bastawade, 2002","India","Southern Asia","Old World","Chalakudi, near Cochin, Kerala, India"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Guanazomus, Teruel & Armas 2002","G. armatus, Teruel & Armas, 2002",NA,"Cuba","Caribbean","New World","La Bajada, Guanahacabibes, Pinar del Río, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hansenochrus, Reddell & Cokendolpher 1995","H. acrocaudatus, (Rowland & Reddell 1979b)","Schizomus acrocaudatus, Rowland & Reddell, 1979b","Trinidad & Tobago","Caribbean","New World","St. Augustine, Saint George, Trinidad, Trinidad & Tobago"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hansenochrus, Reddell & Cokendolpher 1995","H. centralis, (Gertsch 1941)","Schizomus centralis, Gertsch, 1941; Rowland & Reddell, 1979b","Panama","Central America","New World","Barro Colorado Island, Panama, Panama"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hansenochrus, Reddell & Cokendolpher 1995","H. dispar, (Hansen in Hansen & Sørensen 1905)","Schizomus dispar, Hansen in Hansen & Sørensen, 1905","Martinique","Caribbean","New World","Martinique"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hansenochrus, Reddell & Cokendolpher 1995","H. drakos, (Rowland & Reddell 1979b)","Schizomus drakos, Rowland & Reddell, 1979b","Guyana","South America","New World","Kartabo, near Bartica, Mazaruni-Potaro, Guyana"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hansenochrus, Reddell & Cokendolpher 1995","H. flavescens, (Hansen in Hansen & Sørensen 1905)","Schizomus flavescens, Hansen in Hansen & Sørensen, 1905; Rowland & Reddell, 1979b","Venezuela","South America","New World","Corosul, near Carácas, Miranda, Venezuela"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hansenochrus, Reddell & Cokendolpher 1995","H. gladiator, (Rémy 1961)","Schizomus gladiator, Rémy, 1961","Suriname","South America","New World","Estate Ma Restraite, north of Paramaribo, Paramaribo, Suriname"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hansenochrus, Reddell & Cokendolpher 1995","H. guyanensis, Cokendolpher & Reddell, 2000a","Schizomus sp. OTU No.2, Rowland & Reddell, 1979b","Guyana","South America","New World","Kartabo, near Bartica, Mazaruni-Potaro, Guyana"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hansenochrus, Reddell & Cokendolpher 1995","H. humbertoi, Armas & Víquez, 2010",NA,"Costa Rica","Central America","New World","finca de la familia Mora Maroto, Palmar Norte, Puntarenas, Costa Rica"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hansenochrus, Reddell & Cokendolpher 1995","H. mumai, (Rowland & Reddell 1979b)","Schizomus mumai, Rowland & Reddell, 1979b","Costa Rica","Central America","New World","Coto, Puntarenas, Costa Rica"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hansenochrus, Reddell & Cokendolpher 1995","H. selva, Armas, 2009",NA,"Costa Rica","Central America","New World","Estacíon Biologíca La Selva, Heredia, Costa Rica"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hansenochrus, Reddell & Cokendolpher 1995","H. simonis, (Hansen in Hansen & Sørensen 1905)","Schizomus simonis, Hansen in Hansen & Sørensen, 1905; Rowland & Reddell, 1979b","Venezuela","South America","New World","Colonia Tovar?, Venezuela San Esteban?, Venezuela"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hansenochrus, Reddell & Cokendolpher 1995","H. surinamensis, (Rémy 1961)","Schizomus surinamensis, Rémy, 1961","Suriname","South America","New World","Dirkshoop, Experimental Citrus Gardens, 40 km west of Paramaribo, Saramacca, Suriname"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hansenochrus, Reddell & Cokendolpher 1995","H. tobago, (Rowland & Reddell 1979b)","Schizomus tobago, Rowland & Reddell, 1979b","Trinidad & Tobago","Caribbean","New World","Tobago, Trinidad & Tobago"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hansenochrus, Reddell & Cokendolpher 1995","H. trinidanus, (Rowland & Reddell 1979b)","Schizomus flavescens, Strickland, 1947 (misidentification); Schizomus trinidanus, Rowland & Reddell, 1979b","Trinidad & Tobago","Caribbean","New World","Arima Valley, Saint George, Trinidad, Trinidad & Tobago"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hansenochrus, Reddell & Cokendolpher 1995","H. urbanii, Villarreal & Teruel, 2006",NA,"Venezuela","South America","New World","Cueva El Santuario, near Barbacoa, Lara, Venezuela"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hansenochrus, Reddell & Cokendolpher 1995","H. vanderdrifti, Rémy, 1961",NA,"Suriname","South America","New World","Dirkshoop, Experimental Citrus Gardens, 40 km west of Paramaribo, Saramacca, Suriname"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hansenochrus, Reddell & Cokendolpher 1995","H. yolandae, (González-Sponga 1997)","Schizomus yolandae, González-Sponga, 1997","Venezuela","South America","New World","Parque Nacional Guatopo, Acevedo, Miranda, Venezuela"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Harveyus, Monjaraz-Ruedas, Prendini & Francke 2019","H. contrerasi, Monjaraz-Ruedas, Prendini & Francke, 2019",NA,"Mexico","Mexico","New World","Tlamaya, Xilitla, San Luis Potosí, Mexico"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Harveyus, Monjaraz-Ruedas, Prendini & Francke 2019","H. mexicanus, (Rowland 1971b)","Schizomus mexicanus, Rowland, 1971b; Rowland & Reddell, 1980; Stenochrus mexicanus, Reddell & Cokendolpher, 1991","Mexico","Mexico","New World","Sótano de la Tinaja, Ciudad Valles, San Luis Potosí, Mexico"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Harveyus, Monjaraz-Ruedas, Prendini & Francke 2019","H. mulaiki, (Gertsch 1940)","Schizomus mulaiki, Gertsch, 1940; Rowland & Reddell, 1980; Stenochrus mulaiki, Reddell & Cokendolpher, 1991","USA","North America","New World","Rio Grande City, Starr County, Texas, USA"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Harveyus, Monjaraz-Ruedas, Prendini & Francke 2019","H. reddelli, (Rowland 1971b)","Schizomus reddelli, Rowland, 1971b; Rowland & Reddell, 1980; Stenochrus reddelli, Reddell & Cokendolpher, 1991","Mexico","Mexico","New World","Cueva de Tres Manatiales, Limón, Tamaulipas, Mexico"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Heterocubazomus, Teruel 2007","H. sierramaestrae, Armas, 2007",NA,"Cuba","Caribbean","New World","Guamá, Santiago de Cuba, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Heteroschizomus, Rowland 1973b","H. goodnightorum, (Rowland 1973b)","Schizomus goodnightorum, Rowland & Reddell, 1981; Stenochrus goodnightorum, Reddell & Cokendolpher, 1991","Mexico","Mexico","New World","Chichén Itzá, Yucatán, Mexico"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Heteroschizomus, Rowland 1973b","H. kekchi, Monjaraz-Ruedas, Prendini & Francke, 2019",NA,"Guatemala","Central America","New World","Biotopo Choncon Machacas, Livingston, Izabal, Guatemala"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Heteroschizomus, Rowland 1973b","H. meambar, (Armas & Víquez 2010)","Stenochrus meambar, Armas & Víquez, 2010","Honduras","Central America","New World","Parque Natural Cerro Azul Meambar, La Guama, Comayagua, Honduras"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Heteroschizomus, Rowland 1973b","H. orthoplax, (Rowland 1973b)","Schizomus orthoplax, Rowland, 1973b; Rowland & Reddell, 1981; Stenochrus orthoplax, Reddell & Cokendolpher, 1991","Mexico","Mexico","New World","Finca Cuauhtemoc, Tapachula, Chiapas, Mexico"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Heteroschizomus, Rowland 1973b","H. silvino, (Rowland & Reddell 1977)","Schizomus silvino, Rowland & Reddell, 1977, 1981; Stenochrus silvino, Reddell & Cokendolpher, 1991","Guatemala","Central America","New World","Gruta de Silvino, Puerto Barrios, Izabal, Guatemala"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hubbardia, Cook 1899","H. belkini, (McDonald & Hogue 1957)","Trithyreus belkini, McDonald & Hogue, 1957; Schizomus belkini, Rowland & Reddell, 1981","USA","North America","New World","Crater Camp, Santa Monica Mountains, Los Angeles County, California, USA"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hubbardia, Cook 1899","H. borregoensis, (Briggs & Hom 1966)","Trithyreus borregoensis, Briggs & Hom, 1966; Schizomus borregoensis, Rowland & Reddell, 1981","USA","North America","New World","Borrego Palm Canyon, Ana-Borrego Desert State Park, San Diego Count, California, USA"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hubbardia, Cook 1899","H. briggsi, (Rowland 1972)","Trithyreus briggsi, Rowland, 1972; Trithyreus belkini (misidentification), Hom, 1967; Schizomus briggsi, Rowland & Reddell, 1981","USA","North America","New World","Rocky Hill, near Exeter, Tulare County, California, USA"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hubbardia, Cook 1899","H. idria, Reddell & Cokendolpher, 1991",NA,"USA","North America","New World","near Idria, San Benito County, California, USA"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hubbardia, Cook 1899","H. joshuensis, (Rowland 1971c)","Trithyreus joshuensis, Rowland, 1971c; Schizomus joshuensis, Rowland & Reddell, 1981","USA","North America","New World","Forty-nine Palms, Joshua Tree National Monument, San Bernadino County, California, USA"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hubbardia, Cook 1899","H. pentapeltis, (Cook 1899)","Schizomus pentapeltis, Rowland & Reddell, 1981","USA","North America","New World","Palm Springs, Riverside County, California, USA"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hubbardia, Cook 1899","H. seconensis, (Briggs & Hom 1988)","Schizomus seconensis, Briggs & Hom, 1988","USA","North America","New World","West side of Arroyo Seco Campground at The Lakes, Los Padres National Forest, Monterey County, California, USA"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hubbardia, Cook 1899","H. shoshonensis, (Briggs & Hom 1972)","Trithyreus shoshonensis, Briggs & Hom, 1972; Schizomus shoshonensis, Rowland & Reddell, 1981","USA","North America","New World","Upper Shoshone Cave, near Shoshone, Inyo County, California, USA"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Hubbardia, Cook 1899","H. wessoni, (Chamberlin 1939)","Trithyreus wessoni, Chamberlin, 1939; Schizomus wessoni, Rowland & Reddell, 1981","USA","North America","New World","Santa Cruz River, near Tucson, Arizona County, USA"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Javazomus, Reddell & Cokendolpher 1995","J. oculatus, (Reddell & Cokendolpher 1995)","Schizomus oculatus, Cokendolpher & Sites, 1988","Indonesia","Southeast Asia","Old World","Tjibodas, West Java, Indonesia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Julattenius, Harvey 1992","J. lawrencei, Harvey, 1992",NA,"Australia","Australia","Old World","Julatten, Queensland, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Julattenius, Harvey 1993","J. cooloola, Harvey, 1992",NA,"Australia","Australia","Old World","Searys Creek Rainforest, Tin Can Bay, Queensland, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Kenyazomus, Armas 2014","K. pekkai, Armas, 2014",NA,"Kenya","Eastern Africa","Old World","Kirimeri forest, Kenya"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Lawrencezomus, Armas 2014","L. atlanticus, Armas, 2014",NA,"Cameroon","Middle Africa","Old World","Atlantic Mountains, Cameroon"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Lawrencezomus, Armas 2014","L. bong, Armas, 2014",NA,"Liberia","Western Africa","Old World","Bong Range Forest, Liberia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Luisarmasius, Reddell & Cokendolpher 1995","L. insulaepinorum, (Armas 1977)","Schizomus insulaepinorum, Armas, 1977; Siguanesiotes insulaepinorum, Teruel, 2018","Cuba","Caribbean","New World","Loma de Columbia, Isla de Pinos, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Luisarmasius, Reddell & Cokendolpher 1995","L. samueli, Armas, 2018",NA,"Cuba","Caribbean","New World","Parque Nacional ""Alejandro de Humboldt"", Baracoa, Guantánamo, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Luisarmasius, Reddell & Cokendolpher 1995","L. yunquensis, (Camilo & Cokendolpher 1988)","Schizomus yunquensis, Camilo & Cokendolpher, 1988","Puerto Rico","Caribbean","New World","Bosque de Luquillo, Highway 930, Puerto Rico"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Mahezomus, Harvey 2001a","M. apicoporus, Harvey, 2001a","Schizomus similis (misidentification), Lawrence, 1969","Seychelle Islands","Eastern Africa","Old World","Copolia, Mahé Island, Seychelle Islands"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Mayazomus, Reddell & Cokendolpher 1995","M. aluxe, Monjaraz-Ruedas & Francke, 2015",NA,"Mexico","Mexico","New World","Arroyo Nayte, Sierra de la Cojolita, Ocosingo, Chiapas, Mexico"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Mayazomus, Reddell & Cokendolpher 1995","M. estor, (Armas & Víquez 2010)","Heteronochrus estor, Armas & Víquez, 2010","Guatemala","Central America","New World","El Estor, Izabal, Guatemala"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Mayazomus, Reddell & Cokendolpher 1995","M. hoffmannae, (Reddell & Cokendolpher 1986)","Schizomus hoffmannae, Reddell & Cokendolpher, 1986","Mexico","Mexico","New World","Tapijulapa, Tabasco, Mexico"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Mayazomus, Reddell & Cokendolpher 1995","M. infernalis, (Rowland 1975)","Schizomus infernalis, Rowland, 1975; Rowland & Reddell, 1981","Mexico","Mexico","New World","0.8 km N of Ruinas de Palenque, Chiapas, Mexico"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Mayazomus, Reddell & Cokendolpher 1995","M. kaamuul, Monjaraz-Ruedas & Francke, 2015",NA,"Mexico","Mexico","New World","Outside Cueva de las Abejas, San Fernando, Chiapas, Mexico"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Mayazomus, Reddell & Cokendolpher 1995","M. loobil, Monjaraz-Ruedas & Francke, 2015",NA,"Mexico","Mexico","New World","1 km N outside Cueva de San Francisco, Trinitaria, Chiapas, Mexico"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Mayazomus, Reddell & Cokendolpher 1995","M. tzotzil, Monjaraz-Ruedas & Francke, 2015",NA,"Mexico","Mexico","New World","Outside La Cueva de Teopisca, Teopisca, Chiapas, Mexico"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Mayazomus, Reddell & Cokendolpher 1995","M. yaax, Monjaraz-Ruedas & Francke, 2015",NA,"Mexico","Mexico","New World","1 km N from Las Delicias, La Trinitaria, Chiapas, Mexico"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Naderiore, Pinto-da-Rocha et al. 2016","N. carajas, Pinto-da-Rocha et al., 2016",NA,"Brazil","South America","New World","Floresta Nacional de Carajás, Parauapebas, Pará, Brazil"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Nahual, Monjaraz-Ruedas, Prendini & Francke 2019","N. bokmai, Monjaraz-Ruedas, Prendini & Francke, 2019",NA,"Mexico","Mexico","New World","Cañadas de Rancho Nueva, Xalapa, Veracruz, Mexico"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Nahual, Monjaraz-Ruedas, Prendini & Francke 2019","N. caballero, (Monjaraz-Ruedas & Francke 2018)","Stenochrus caballero, Monjaraz-Ruedas & Francke, 2018","Mexico","Mexico","New World","Cerro Caballero, San José Tenango, Oaxaca, Mexico"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Nahual, Monjaraz-Ruedas, Prendini & Francke 2019","N. lanceolatus, (Rowland 1975)","Schizomus lanceolatus, Rowland, 1975; Rowland & Reddell, 1981; Stenochrus lanceolatus, Reddell & Cokendolpher, 1991","Mexico","Mexico","New World","Cueva del Diablo, Mendoza, Veracruz, Mexico"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Nahual, Monjaraz-Ruedas, Prendini & Francke 2019","N. pallidus, (Rowland 1975)","Schizomus pallidus, Rowland, 1975; Rowland & Reddell, 1980; Stenochrus pallidus, Reddell & Cokendolpher, 1991","Mexico","Mexico","New World","Cueva Macinga, 2 km E of Tlilapan, Veracruz, Mexico"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Neozomus, Reddell & Cokendolpher 1995","N. tikaderi, (Cokendolpher, Sissom & Bastawade 1988)","Schizomus tikaderi, Cokendolpher, Sissom & Bastawade, 1988","India","Southern Asia","Old World","Sinhagad Fort, Thoptewadi, Maharashtra, India"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Notozomus, Harvey 1992","N. aterpes, Harvey, 1992",NA,"Australia","Australia","Old World","2.0 km WNW of Cape Tribulation, Queensland, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Notozomus, Harvey 1992","N. boonah, Harvey, 2000b","Apozomus woodwardi, Harvey, 1992 (In part mis-identification, specimen from near Boonah, Queensland)","Australia","Australia","Old World","16 km N of Boonah, Queensland, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Notozomus, Harvey 1992","N. bronweneae, Harvey, 2000b",NA,"Australia","Australia","Old World","Wishing Pool, Eungella National Park, Queensland, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Notozomus, Harvey 1992","N. curiosus, Harvey, 2000b",NA,"Australia","Australia","Old World","Mission Beach, Queensland, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Notozomus, Harvey 1992","N. daviesae, Harvey, 1992",NA,"Australia","Australia","Old World","Fritz Creek, Mt. Finlay, Queensland, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Notozomus, Harvey 1992","N. elongatus, Harvey, 2000b",NA,"Australia","Australia","Old World","Mt. Murray Prior, Queensland, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Notozomus, Harvey 1992","N. faustus, Harvey, 2000b",NA,"Australia","Australia","Old World","Conway National Park, Queensland, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Notozomus, Harvey 1992","N. ingham, Harvey, 1992",NA,"Australia","Australia","Old World","Wallaman Falls, via Ingham, Queensland, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Notozomus, Harvey 1992","N. jaquelinae, Harvey, 2000b",NA,"Australia","Australia","Old World","Rainforest gully, Mt. Abbot, Queensland, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Notozomus, Harvey 1992","N. ker, Harvey, 1992",NA,"Australia","Australia","Old World","Cableway Base Station, Bellenden Ker Range, Queensland, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Notozomus, Harvey 1992","N. majesticus, Harvey, 2000b",NA,"Australia","Australia","Old World","SE Windsor Tableland, Queensland, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Notozomus, Harvey 1992","N. maurophila, Harvey, 2000b",NA,"Australia","Australia","Old World","Black Mt. Rd., 5km N of Kuranda, Queensland, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Notozomus, Harvey 1992","N. monteithi, Harvey, 1992",NA,"Australia","Australia","Old World","Clacherty Rd., via Julatten, Queensland, Australia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Notozomus, Harvey 1992","N. raveni, Harvey, 1992",NA,"Australia","Australia","Old World","Majors Mt., Queensland, Australia"
