"Family","Subfamily","Genus","Species","Sex","Anterior.process","Anterior.process","Propeltidium.+.Metapeltidium","Propeltidium.+.Metapeltidium","Propeltidium.+.Metapeltidium","Pedipalps","Pedipalps","Pedipalps","Pedipalps","Pedipalps","Chelicerae","Chelicerae","Chelicerae","Opisthosoma","Opisthosoma","Opisthosoma","Opisthosoma","Spermathecae.(female)","Spermathecae.(female)","Flagellum","Flagellum","Size","Size","Legs","Legs","Legs","Legs","Legs","Ecology","Distribution","Distribution","Distribution","References"
"Family","Subfamily","Genus","Species","Sex","Setation","Setation (base)","Dorsal setation","State of vision","State of metapeltidium","Dimorphism","Mesal spur (trochanter)","Apical process (trochanter)","Claw/tarsus ratio (min)","Claw/tarsus ratio (max)","Guard tooth (movable finger)","Accessory tooth (movable finger)","Small teeth (fixed finger)","Setation (tergite II)","Elongation","Tergite XII: posterodorsal process","Tergite XII: posterodorsal process (shape)","Number of lobes","State of gonopod","Number of flagellomeres (female)","Dorsal shape (male)","Total body length (min)","Total body length (max)","Leg I/total body length ratio (min)","Leg I/total body length ratio (max)","Anterodorsal margin (leg IV)","Leg IV, femur: length/width ratio (min)","Leg IV, femur: length/width ratio (max)","Habitat","Type locality (country)","Region","Unit","References"
"Protoschizomidae",NA,"Agastoschizomus","Agastoschizomus tamaulipensis","male","Single seta","Pair","2 pairs","Absent","Divided","Absent","Absent","Weakly","0.92","0.92","Absent","Absent","Absent","2 setae","Absent","Absent","Absent",NA,NA,NA,"Oblong","6.4","6.4","1.92","1.92","< 90°","5.5","5.5","Strict troglobite","Mexico","Mexico","New World","Monjaraz-Ruedas, Francke & Cokendolpher 2016; ﻿Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
"Protoschizomidae",NA,"Agastoschizomus","Agastoschizomus tenebris","female","Single seta","Pair","4 pairs","Absent","Divided","No data","Absent","Absent","0.32","0.32","Absent","Absent","Absent","2 setae","Absent","Absent","Absent","1 pair","Absent","5 flagellomeres",NA,"6","6","1.1399999999999999","1.1399999999999999","< 90°","4.0999999999999996","4.0999999999999996","Strict troglobite","Mexico","Mexico","New World","Monjaraz-Ruedas, Francke & Cokendolpher 2016; ﻿Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
"Protoschizomidae",NA,"Agastoschizomus","Agastoschizomus texanus","female","Single seta","Pair","2 pairs","Absent","Entire","No data","Absent","Absent","0.42","0.42","Absent","Absent","Absent","2 setae","Absent","Absent","Absent","1 pair","Absent","4 flagellomeres",NA,"3.28","3.28","1.1599999999999999","1.1599999999999999","< 90°","3.35","3.35","Strict troglobite","USA","North America","New World","Monjaraz-Ruedas, Francke & Cokendolpher 2016; ﻿Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
"Protoschizomidae",NA,"Agastoschizomus","Agastoschizomus texanus","male","Single seta","Pair","2 pairs","Absent","Entire","No data","Absent","No data","No data","No data","Absent","Absent","Absent","No data","No data","No data","No data",NA,NA,NA,"No data","2.4","2.4","1.3","1.3","< 90°","No data","No data","Strict troglobite","Mexico","Mexico","New World","Monjaraz-Ruedas, Francke & Cokendolpher 2016; ﻿Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
"Protoschizomidae",NA,"Protoschizomus","Protoschizomus franckei","female","1+1","Pair","4 pairs","Absent","Divided","Absent","Absent","Absent","No data","No data","Absent","Absent","Absent","2 setae","Absent","Absent","Absent","1 pair","Absent","5 flagellomeres",NA,"3.92","3.92","1.22","1.22","< 90°","3.4","3.4","Troglophile","Mexico","Mexico","New World","Monjaraz-Ruedas 2013; Manzanilla et al. 2016; Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
"Protoschizomidae",NA,"Protoschizomus","Protoschizomus franckei","male","1+1","Pair","4 pairs","Absent","Divided","Absent","Absent","Absent","1.22","1.22","Absent","Absent","Absent","2 setae","Absent","Absent","Absent",NA,NA,NA,"Oblong","4.5599999999999996","4.5599999999999996","1.1200000000000001","1.1200000000000001","< 90°","4.2","4.2","Troglophile","Mexico","Mexico","New World","Monjaraz-Ruedas 2013; Manzanilla et al. 2016; Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
"Protoschizomidae",NA,"Protoschizomus","Protoschizomus gertschi","female","1+1","Pair","2 pairs","Absent","Divided","No data","Absent","Absent","0.9","0.9","Absent","Absent","Absent","2 setae","Absent","Absent","Absent","1 pair","Absent","4 flagellomeres",NA,"5.95","5.95","1.22","1.22","< 90°","4.2","4.2","Strict troglobite","Mexico","Mexico","New World","Cokendolpher & Reddell 1992; ﻿Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
"Protoschizomidae",NA,"Protoschizomus","Protoschizomus occidentalis","female","1+1","Pair","3 pairs","Absent","Divided","Absent","Absent","Absent","No data","No data","Absent","Absent","Absent","2 setae","Absent","Absent","Absent","1 pair","Absent","No data",NA,"4.04","4.04","0.86","0.86","< 90°","2.7","2.7","Epigean","Mexico","Mexico","New World","Rowland 1975; Rowland & Reddell 1979a; Cokendolpher & Reddell 1992, Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
"Protoschizomidae",NA,"Protoschizomus","Protoschizomus occidentalis","male","1+1","Pair","3 pairs","Absent","Divided","Absent","Absent","Absent","0.6","0.8","Absent","Absent","Absent","2 setae","Absent","Absent","Absent",NA,NA,NA,"Oblong","4","4.9000000000000004","0.86","1.06","< 90°","3","3","Epigean","Mexico","Mexico","New World","Rowland 1975; Rowland & Reddell 1979a; Cokendolpher & Reddell 1992, Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
"Protoschizomidae",NA,"Protoschizomus","Protoschizomus pachypalpus","female","1+1","Pair","3 pairs","Absent","Divided","Absent","Absent","Absent","0.6","0.6","Absent","Absent","Absent","2 setae","Absent","Absent","Absent","1 pair","Absent","5 flagellomeres",NA,"4.42","5.3","0.71","0.83","< 90°","3.4","3.4","Epigean","Mexico","Mexico","New World","Rowland 1975; Rowland & Reddell 1979a; Cokendolpher & Reddell 1992, Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
