"Family","Subfamily","Genus","Species","Sex","Anterior.process","Anterior.process","Propeltidium.+.Metapeltidium","Propeltidium.+.Metapeltidium","Propeltidium.+.Metapeltidium","Pedipalps","Pedipalps","Pedipalps","Pedipalps","Pedipalps","Chelicerae","Chelicerae","Chelicerae","Opisthosoma","Opisthosoma","Opisthosoma","Opisthosoma","Spermathecae.(female)","Spermathecae.(female)","Flagellum","Flagellum","Size","Size","Legs","Legs","Legs","Legs","Legs","Ecology","Distribution","Distribution","Distribution","References"
"Family","Subfamily","Genus","Species","Sex","Setation","Setation (base)","Dorsal setation","State of vision","State of metapeltidium","Dimorphism","Mesal spur (trochanter)","Apical process (trochanter)","Claw/tarsus ratio (min)","Claw/tarsus ratio (max)","Guard tooth (movable finger)","Accessory tooth (movable finger)","Small teeth (fixed finger)","Setation (tergite II)","Elongation","Tergite XII: posterodorsal process","Tergite XII: posterodorsal process (shape)","Number of lobes","State of gonopod","Number of flagellomeres (female)","Dorsal shape (male)","Total body length (min)","Total body length (max)","Leg I/total body length ratio (min)","Leg I/total body length ratio (max)","Anterodorsal margin (leg IV)","Leg IV, femur: length/width ratio (min)","Leg IV, femur: length/width ratio (max)","Habitat","Type locality (country)","Region","Unit","References"
"Hubbardiidae","Hubbardiinae","Cokendolpherius","Cokendolpherius ramosi","female","1+1","Absent","3 pairs","Absent","Entire","Sexual dimorphism + heteromorphism ","Present","Strongly","No data","No data","Present","Absent","No data","2 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"4.5","4.5","No data","No data","~ 90°","No data","No data","Troglophile","Cuba","Caribbean","New World","Armas 2002a [in spanish]"
"Hubbardiidae","Hubbardiinae","Cokendolpherius","Cokendolpherius ramosi","male","1+1","Absent","3 pairs","Absent","Entire","Sexual dimorphism + heteromorphism ","Present","Strongly: strongly","No data","No data","Present","Absent","6 small teeth","2 setae","Absent","Absent","Absent",NA,NA,NA,"Trilobate - reverse arrow-shaped","4.8899999999999997","5.82","No data","No data","~ 90°","2.67","3.1","Troglophile","Cuba","Caribbean","New World","Armas 2002a [in spanish]"
"Hubbardiidae","Hubbardiinae","Colombiazomus","Colombiazomus quindio","female","1+1","Absent","3 pairs","Eyespots","Entire","Absent","Present or absent","No data","No data","No data","Present","1 accessory tooth","6 small teeth","2 setae","Absent","Absent","Absent","2 pairs","Absent","4 flagellomeres",NA,"3.5","3.5","1.34","1.34","~ 90°","2.4","2.4","Epigean","Colombia","South America","New World","Delgado-Santa & Armas 2013 [in spanish]"
"Hubbardiidae","Hubbardiinae","Colombiazomus","Colombiazomus quindio","male","1+1","Absent","3 pairs","Eyespots","Entire","Absent","Present or absent","Weakly","No data","No data","Present","1 accessory tooth","6 small teeth","2 setae","Tergite (I)X-XI(I) elongated","Absent","Acute",NA,NA,NA,"Lanceolate","3.48","3.9","1.28","1.41","~ 90°","2.4","2.41","Epigean","Colombia","South America","New World","Delgado-Santa & Armas 2013 [in spanish]"
"Hubbardiidae","Hubbardiinae","Colombiazomus","Colombiazomus truncatus ","female","1+1","Absent","3 pairs","Eyespots","Entire","Absent","Present or absent","Absent","No data","No data","Present","1 accessory tooth","5 or 6 small teeth","2 setae","Absent","Absent","Absent","2 pairs","Absent","4 flagellomeres",NA,"3.2","3.2","1.1200000000000001","1.1200000000000001","~ 90°","2.37","2.37","Epigean","Colombia","South America","New World","Armas & Delgado-Santa 2012a [in spanish]"
"Hubbardiidae","Hubbardiinae","Colombiazomus","Colombiazomus truncatus ","male","1+1","Absent","3 pairs","Eyespots","Entire","Absent","Present or absent","Absent","No data","No data","Present","1 accessory tooth","5 or 6 small teeth","2 setae","Tergite (I)X-XI(I) elongated","Absent","Acute",NA,NA,NA,"Lanceolate","3.36","3.82","1.1100000000000001","1.31","~ 90°","2.4300000000000002","2.52","Epigean","Colombia","South America","New World","Armas & Delgado-Santa 2012a [in spanish]"
"Hubbardiidae","Hubbardiinae","Cubacanthozomus","Cubacanthozomus rowlandi","female","1+1","Absent","3 pairs","Absent","Entire","Absent","Absent","No data","No data","No data","Present","5 accessory teeth","4 small teeth","2 setae","Absent","Absent","Absent","2 pairs","Absent","3 flagellomeres",NA,"4","4.5999999999999996","1.25","1.25","~ 90°","2.78","3.16","Strict troglobite","Cuba","Caribbean","New World","Dumitresco 1973 [in french]; Teruel 2007 [in spanish]; Armas, Díaz & Barroso 2016 [in spanish]; 2017"
"Hubbardiidae","Hubbardiinae","Cubacanthozomus","Cubacanthozomus rowlandi","male","1+1","Absent","2 pairs","Absent","Entire","Absent","Absent","Strongly","0.5","0.5","Present","5 accessory teeth","4 small teeth","2 setae","Absent","Absent","Absent",NA,NA,NA,"Rectangular","4.7","4.7","1.72","1.72","~ 90°","4.7","4.7","Strict troglobite","Cuba","Caribbean","New World","Dumitresco 1973 [in french]; Teruel 2007 [in spanish]; Armas, Díaz & Barroso 2016 [in spanish]; 2017"
"Hubbardiidae","Hubbardiinae","Cubazomus","Cubazomus armasi","female","1+1","Absent","3 pairs","Eyespots","Divided","Sexual dimorphism + heteromorphism ","Present","No data","0.67","0.69","Present","No data","No data","2 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"2.69","2.83","1.02","1.03","~ 90°","No data","No data","Epigean","Cuba","Caribbean","New World","Rowland & Reddell 1981; Teruel 2017b [in spanish]"
"Hubbardiidae","Hubbardiinae","Cubazomus","Cubazomus armasi","male","1+1","Absent","3 pairs","Eyespots","Divided","Sexual dimorphism + heteromorphism ","Present","No data; absent","0.41","0.47","Present","No data","No data","2 setae","Absent","Absent","Acute",NA,NA,NA,"Rhomboidal","2.72","2.99","1.1499999999999999","1.18","~ 90°","No data","No data","Epigean","Cuba","Caribbean","New World","Rowland & Reddell 1981; Teruel 2017b [in spanish]"
"Hubbardiidae","Hubbardiinae","Cubazomus","Cubazomus montanus","male","1+1","Absent","3 pairs","Eyespots","Divided","Sexual dimorphism + heteromorphism ","Present","No data; absent","No data","No data","Present","No data","No data","2 setae","Absent","Absent","Acute",NA,NA,NA,"Triangular","3.55","3.75","No data","No data","~ 90°","No data","No data","Epigean","Cuba","Caribbean","New World","Teruel 2004 [in spanish]; Teruel 2017b [in spanish]"
"Hubbardiidae","Hubbardiinae","Cubazomus","Cubazomus sheylae","female","1+1","Absent","3 pairs","Eyespots","Divided","Sexual dimorphism + heteromorphism ","Present","Absent","No data","No data","Present","No data","No data","2 setae","Absent","No data","No data","2 pairs","Present","3 flagellomeres",NA,"2.1","2.1","No data","No data","~ 90°","No data","No data","Epigean","Cuba","Caribbean","New World","Teruel 2017b [in spanish]"
"Hubbardiidae","Hubbardiinae","Cubazomus","Cubazomus sheylae","male","1+1","Absent","3 pairs","Eyespots","Divided","Sexual dimorphism + heteromorphism ","Present","No data; absent","No data","No data","Present","No data","No data","2 setae","Absent","Absent","Acute",NA,NA,NA,"Triangular","2.63","2.63","No data","No data","~ 90°","No data","No data","Epigean","Cuba","Caribbean","New World","Teruel 2017b [in spanish]"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides affinis","female","2+1+1","Absent","3 pairs","Absent","Divided","Absent","Absent","Strongly","0.39","0.39","Present","1 accessory tooth","5 small teeth","3 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"2.41","4.01","1.38","1.38","~ 90°","2.62","2.62","Strict troglobite","Australia","Australia","Old World","Framenau et al. 2018; Abrams et al. 2019; 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides affinis","male","2+0","Absent","3 pairs","Absent","Divided","Absent","Absent","Strongly","0.52","0.52","Present","1 accessory tooth","6 small teeth","3 setae","Absent","Small","Acute",NA,NA,NA,"Oblong","2.31","3.64","1.72","1.72","~ 90°","3.18","3.18","Strict troglobite","Australia","Australia","Old World","Framenau et al. 2018; Abrams et al. 2019; 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides akashae","female","2+1","Absent","2 pairs","Absent","Divided","No data","Absent","Strongly","0.5","0.5","Present","1 + 1 small accessory tooth","4 small teeth","3 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"3.89","4.42","No data","No data","~ 90°","No data","No data","Strict troglobite","Australia","Australia","Old World","Abrams et al. 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides anachoretus","female","1+2","Absent","1-2:2:0-2","Absent","Divided","Absent","Absent","Strongly","0.48","0.48","Present","1 accessory tooth","4 small teeth","3 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"4.3899999999999997","4.3899999999999997","1.32","1.32","~ 90°","3.07","3.07","Strict troglobite","Australia","Australia","Old World","Harvey et al. 2008; Abrams et al. 2019; 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides anachoretus","male","2+1","Absent","2:1:2","Absent","Divided","Absent","Absent","Strongly","0.3","0.3","Present","1 accessory tooth","5 small teeth","3 setae","Absent","Small","Rounded",NA,NA,NA,"Oblong","3.14","4.04","No data","No data","~ 90°","No data","No data","Strict troglobite","Australia","Australia","Old World","Harvey et al. 2008; Abrams et al. 2019; 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides belalugosii","female","2+1","Absent","2:1:2","Absent","Divided","Absent","Absent","Strongly","0.55000000000000004","0.55000000000000004","Present","1 + 1 small accessory tooth","5 small teeth","3 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"3.65","3.65","No data","No data","~ 90°","No data","No data","Strict troglobite","Australia","Australia","Old World","Abrams et al. 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides belalugosii","male","2+1","Absent","2:1:2","Absent","Divided","Absent","Absent","Strongly","0.42","0.42","Present","1 accessory tooth","5 small teeth","3 setae","Absent","Small","No data",NA,NA,NA,"Oblong","2.9","2.9","No data","No data","~ 90°","No data","No data","Strict troglobite","Australia","Australia","Old World","Abrams et al. 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides bramstokeri","female","2+1","Absent","3 pairs","Absent","Divided","Absent","Absent","No data","0.63","0.63","Present","1 accessory tooth","3 or 4 small teeth","2 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"5.0999999999999996","5.0999999999999996","1.28","1.28","~ 90°","2.96","2.96","Strict troglobite","Australia","Australia","Old World","Harvey & Humphreys 1995; Harvey et al. 2008"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides bramstokeri","male","2+1","Absent","3 pairs","Absent","Divided","Absent","Absent","Strongly","0.6","0.6","Present","1 accessory tooth","3 or 4 small teeth","2 setae","Absent","Small","No data",NA,NA,NA,"Oblong","4.3","4.3","1.65","1.65","~ 90°","3.17","3.17","Strict troglobite","Australia","Australia","Old World","Harvey & Humphreys 1995; et al. Harvey 2008"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides brooksi","female","2+1","Absent","3 pairs","Absent","Divided","Absent","Absent","Strongly","0.54","0.54","Present","1 accessory tooth","4 small teeth","2 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"5.22","5.22","1.54","1.54","~ 90°","3.48","3.48","Strict troglobite","Australia","Australia","Old World","Harvey 2001b; Harvey et al. 2008"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides brooksi","male","2+1","Absent","3 pairs","Absent","Divided","Absent","Absent","Strongly","0.52","0.52","Present","1 + several small accessory tooth","5 small teeth","2 setae","Absent","Small","No data",NA,NA,NA,"Oblong","5.8","5.8","1.84","1.84","~ 90°","3.54","3.54","Strict troglobite","Australia","Australia","Old World","Harvey 2001b; Harvey et al. 2008"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides bythius","female","2+1","Absent","2 pairs","Absent","Divided","Absent","Absent","Strongly","0.44","0.44","Present","2 accessory teeth","4 small teeth","3 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"4.87","4.87","1.56","1.56","~ 90°","3.08","3.08","Strict troglobite","Australia","Australia","Old World","Harvey et al. 2008; Abrams et al. 2019; 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides bythius","male","2+1","Absent","2 pairs","Absent","Divided","Absent","Absent","Strongly","0.46","0.46","Present","2 accessory teeth","4 small teeth","3 setae","Absent","Small","No data",NA,NA,NA,"Oblong","4.76","4.76","1.84","1.84","~ 90°","3.32","3.32","Strict troglobite","Australia","Australia","Old World","Harvey et al. 2008; Abrams et al. 2019; 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides carmillae","female","2+1","Absent","3 pairs","Absent","Divided","No data","Absent","Strongly","0.69","0.69","Present","1 accessory tooth","7 small teeth","2 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"3.56","4.18","No data","No data","~ 90°","No data","No data","Strict troglobite","Australia","Australia","Old World","Abrams et al. 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides catho","female","2+1","Absent","2:1:2:2","Absent","Divided","No data","Absent","Strongly","0.43","0.43","Present","3 accessory teeth","5 small teeth","3 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"5.24","5.24","No data","No data","~ 90°","5.45","5.45","Strict troglobite","Australia","Australia","Old World","Framenau et al. 2018; Abrams et al. 2019; 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides celatus","female","2+1","Absent","3 pairs","Absent","Divided","No data","Absent","Strongly","0.5","0.5","Present","1 accessory tooth","4 small teeth","3 setae","Absent","No data","No data","No data","No data","3 flagellomeres",NA,"No data","No data","1.39","1.39","~ 90°","No data","No data","Strict troglobite","Australia","Australia","Old World","Framenau et al. 2018; Abrams et al. 2019; 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides celatus","male","2+1","Absent","3 pairs","Absent","Divided","No data","Absent","Strongly","0.5","0.5","Present","1 accessory tooth","4 small teeth","3 setae","Absent","No data","No data",NA,NA,NA,"No data","No data","No data","1.39","1.39","~ 90°","No data","No data","Strict troglobite","Australia","Australia","Old World","Framenau et al. 2018; Abrams et al. 2019; 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides christopherleei","male","2+1","Absent","3 pairs","Absent","Divided","No data","Absent","Strongly","0.27","0.27","Present","1 accessory tooth","4 small teeth","3 setae","Absent","Small","Rounded",NA,NA,NA,"Oblong","3.13","3.13","No data","No data","~ 90°","No data","No data","Strict troglobite","Australia","Australia","Old World","Abrams et al. 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides claudiae","female","2+1","Absent","3 pairs","Absent","Divided","No data","Absent","Strongly","0.45","0.45","Present","1 accessory tooth","4 small teeth","2 setae","Absent","No data","No data","No data","No data","No data",NA,"No data","No data","No data","No data","~ 90°","No data","No data","Strict troglobite","Australia","Australia","Old World","Abrams et al. 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides claudiae","male","2+1","Absent","3 pairs","Absent","Divided","No data","Absent","Strongly","0.45","0.45","Present","1 accessory tooth","4 small teeth","2 setae","Absent","No data","Absent",NA,NA,NA,"No data","No data","No data","No data","No data","~ 90°","No data","No data","Strict troglobite","Australia","Australia","Old World","Abrams et al. 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides cochranus","female","2+1","Absent","3 pairs","Absent","Divided","Absent","Absent","Strongly","0.44","0.44","Present","2 accessory teeth","4 small teeth","3 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"3.15","4.34","1.4","1.4","~ 90°","2.85","2.85","Strict troglobite","Australia","Australia","Old World","Framenau et al. 2018; Abrams et al. 2019; 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides cochranus","male","2+1","Absent","4 pairs","Absent","Divided","Absent","Absent","Strongly","0.47","0.47","Present","1 accessory tooth","4 small teeth","3 setae","Absent","Small","Rounded",NA,NA,NA,"Oblong","4.08","4.33","1.78","1.78","~ 90°","3.16","3.16","Strict troglobite","Australia","Australia","Old World","Framenau et al. 2018; Abrams et al. 2019; 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides confusus","male","2+1","Absent","2:1:2","Absent","Divided","Absent","Absent","Strongly","0.5","0.5","Present","1 accessory tooth","4 small teeth","3 setae","Absent","Small","Rounded",NA,NA,NA,"Oblong","3.74","3.74","1.32","1.32","~ 90°","4.63","4.63","Strict troglobite","Australia","Australia","Old World","Framenau et al. 2018; Abrams et al. 2019; 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides eremius","female","2+1","Absent","3 pairs","Absent","Divided","Absent","Absent","Strongly","0.42","0.42","Present","1 + 1 small accessory tooth","5 small teeth","3 setae","No data","Small","No data","2 pairs","Present","3 flagellomeres",NA,"3.29","3.29","2.09","2.09","~ 90°","2.82","2.82","Strict troglobite","Australia","Australia","Old World","Abrams & Harvey 2015; Abrams et al. 2019; 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides eremius","male","2+1","Absent","3 pairs","Absent","Divided","Absent","Absent","Strongly","0.47","0.47","Present","1 + 1 small accessory tooth","5 small teeth","3 setae","Absent","Small","No data",NA,NA,NA,"Oblong","4.3","4.3","1.69","1.69","~ 90°","2.81","2.81","Strict troglobite","Australia","Australia","Old World","Abrams & Harvey 2015; Abrams et al. 2019; 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides gnophicola","female","1+2","Absent","2:2:2:0-2","Absent","Divided","Absent","Absent","Strongly","0.47","0.47","Present","1 accessory tooth","5 small teeth","3 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"5.55","5.55","1.25","1.25","~ 90°","3.08","3.08","Strict troglobite","Australia","Australia","Old World","Harvey et al. 2008; Abrams et al. 2019; 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides gnophicola","male","2+1","Absent","2:2:1:2","Absent","Divided","Absent","Absent","Strongly","0.33","0.33","Present","1 accessory tooth","4 or 5 small teeth","3 setae","Absent","Small","Rounded",NA,NA,NA,"Oblong","3.17","3.17","No data","No data","~ 90°","No data","No data","Strict troglobite","Australia","Australia","Old World","Harvey et al. 2008; Abrams et al. 2019; 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides immortalis","female","0+3","Absent","1:2:2","Absent","Divided","No data","Absent","Strongly","0.5","0.5","Present","1 accessory tooth","6 small teeth","3 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"3.99","3.99","No data","No data","~ 90°","No data","No data","Strict troglobite","Australia","Australia","Old World","Abrams et al. 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides julianneae","female","2+1","Absent","3 pairs","Absent","Divided","Absent","Absent","Strongly","0.5","0.5","Present","1 + several small accessory tooth","7 small teeth","2 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"6.8","6.8","1.87","1.87","~ 90°","3.67","3.67","Strict troglobite","Australia","Australia","Old World","Harvey 2001b; Harvey et al. 2008"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides julianneae","male","2+1","Absent","3 pairs","Absent","Divided","Absent","Absent","Strongly","0.5","0.5","Present","1 accessory tooth","5 small teeth","2 setae","Absent","Small","No data",NA,NA,NA,"Oblong","6.99","6.99","1.39","1.39","~ 90°","4.0599999999999996","4.0599999999999996","Strict troglobite","Australia","Australia","Old World","Harvey 2001b; Harvey et al. 2008"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides karenbassettae","female","2+1","Absent","3 pairs","Absent","Divided","Absent","Absent","Strongly","0.6","0.6","Present","1 accessory tooth","4 small teeth","2 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"3.51","3.8","No data","No data","~ 90°","No data","No data","Strict troglobite","Australia","Australia","Old World","Abrams et al. 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides karenbassettae","male","2+1","Absent","3 pairs","Absent","Divided","Absent","Absent","Strongly","0.6","0.6","Present","1 accessory tooth","5 small teeth","2 setae","Absent","Small","Rounded",NA,NA,NA,"Oblong","3.37","3.75","No data","No data","~ 90°","No data","No data","Strict troglobite","Australia","Australia","Old World","Abrams et al. 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides kryptus","female","1-2:2","Absent","2:2:0-2","Absent","Divided","Absent","Absent","Strongly","0.52","0.52","Present","1 accessory tooth","4 small teeth","3 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"4.04","4.04","1.35","1.35","~ 90°","2.79","2.79","Strict troglobite","Australia","Australia","Old World","Harvey et al. 2008; Abrams et al. 2019; 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides kryptus","male","1-2:2","Absent","2:2:0-2","Absent","Divided","Absent","Absent","Strongly","0.48","0.48","Present","1 accessory tooth","5 small teeth","3 setae","Absent","Small","No data",NA,NA,NA,"Oblong","4.5999999999999996","4.5999999999999996","1.52","1.52","~ 90°","3.27","3.27","Strict troglobite","Australia","Australia","Old World","Harvey et al. 2008; Abrams et al. 2019; 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides mckechnieorum","female","2+1","Absent","3 pairs","Absent","Divided","Absent","Absent","Strongly","0.4","0.4","Present","1 accessory tooth","5 small teeth","3 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"3.99","4.2300000000000004","No data","No data","~ 90°","No data","No data","Strict troglobite","Australia","Australia","Old World","Abrams et al. 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides mckechnieorum","male","2+1","Absent","3 pairs","Absent","Divided","Absent","Absent","Strongly","0.39","0.39","Present","1 accessory tooth","5 small teeth","3 setae","Absent","Small","Rounded",NA,NA,NA,"Oblong","3.94","3.94","No data","No data","~ 90°","No data","No data","Strict troglobite","Australia","Australia","Old World","Abrams et al. 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides mesozeirus","female","2+1","Absent","3 pairs","Absent","Divided","No data","Absent","Strongly","0.59","0.59","Present","1 + 1 small accessory tooth","4 small teeth","2 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"4.0599999999999996","4.0599999999999996","1.35","1.35","~ 90°","2.88","2.88","Strict troglobite","Australia","Australia","Old World","Harvey et al. 2008; Abrams et al. 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides minae","female","2+1","Absent","2:2:2:1","Absent","Divided","No data","Absent","Strongly","0.64","0.64","Present","1 accessory tooth","6 small teeth","2 setae","Absent","Absent","Absent","2 pairs","Present","No data",NA,"4.88","4.88","No data","No data","~ 90°","No data","No data","Strict troglobite","Australia","Australia","Old World","Abrams et al. 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides neoanthropus","male","2+1","Absent","3 pairs","Absent","Divided","No data","Absent","Strongly","0.51","0.51","Present","2 accessory teeth","5 small teeth","2 setae","Absent","Small","No data",NA,NA,NA,"Oblong","4.53","4.53","No data","No data","~ 90°","2.57","2.57","Strict troglobite","Australia","Australia","Old World","Harvey et al. 2008"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides noctigrassator","male","2+0","Absent","3 pairs","Absent","Divided","No data","Absent","Strongly","0.5","0.5","Present","1 accessory tooth","6 small teeth","3 setae","No data","Small","Rounded",NA,NA,NA,"Oblong","3.06","4.04","No data","No data","~ 90°","No data","No data","Strict troglobite","Australia","Australia","Old World","Abrams et al. 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides nosferatu","female","2+1","Absent","3 pairs","Absent","Divided","No data","Absent","Strongly","0.36","0.36","Absent","2 + 1 small accessory tooth","5 small teeth","No data","Absent","Absent","Absent","2 pairs","Present","No data",NA,"3.56","3.56","No data","No data","~ 90°","No data","No data","Strict troglobite","Australia","Australia","Old World","Abrams et al. 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides obrutus","female","2+1","Absent","3 pairs","Absent","Divided","No data","Absent","Strongly","0.48","0.48","Present","1 accessory tooth","5 small teeth","3 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"3.35","3.6","1.21","1.21","~ 90°","2.6","2.6","Strict troglobite","Australia","Australia","Old World","Framenau et al. 2018; Abrams et al. 2019; 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides piscivultus","female","2+1+1","Absent","3 pairs","Absent","Divided","Absent","Absent","Strongly","0.46","0.46","Present","Absent","4 small teeth","2 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"3.32","3.7","No data","No data","~ 90°","No data","No data","Strict troglobite","Australia","Australia","Old World","Abrams et al. 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides piscivultus","male","2+0","Absent","3 pairs","Absent","Divided","Absent","Absent","Strongly","0.27","0.27","Present","Absent","3 small teeth","2 setae","Absent","Well-developed","Rounded",NA,NA,NA,"Oblong","2.2599999999999998","3.52","No data","No data","~ 90°","No data","No data","Strict troglobite","Australia","Australia","Old World","Abrams et al. 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides trinity","female","2+1","Absent","3 pairs","Absent","Divided","Absent","Absent","Strongly","0.43","0.43","Present","2 accessory teeth","5 small teeth","3 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"4.3499999999999996","5.76","1.33","1.33","~ 90°","5.97","5.97","Strict troglobite","Australia","Australia","Old World","Framenau et al. 2018; Abrams et al. 2019; 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides trinity","male","2+1","Absent","3 pairs","Absent","Divided","Absent","Absent","Strongly","0.53","0.53","Present","2 accessory teeth","5 small teeth","3 setae","Absent","Small","Acute",NA,NA,NA,"Oblong","4.76","5.22","1.77","1.77","~ 90°","6.34","6.34","Strict troglobite","Australia","Australia","Old World","Framenau et al. 2018; Abrams et al. 2019; 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides vinei","female","2+1","Absent","3 pairs","Absent","Divided","Absent","Absent","No data","0.54","0.69","Present","1 + 1 small accessory tooth","5 small teeth","2 setae","Absent","Absent","Absent","2 pairs","Absent","3 flagellomeres",NA,"5.12","6.49","1.79","1.9","~ 90°","3.48","3.64","Strict troglobite","Australia","Australia","Old World","Harvey 1988; Harvey 1992; Reddell & Cokendolpher 1995; Harvey et al. 2008"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides vinei","male","2+1","Absent","3 pairs","Absent","Divided","Absent","Absent","Strongly","0.63","0.63","Present","1 + 1 small accessory tooth","5 small teeth","2 setae","Absent","Small","No data",NA,NA,NA,"Oblong","6.2","6.43","1.89","1.9","~ 90°","3.99","4.1399999999999997","Strict troglobite","Australia","Australia","Old World","Harvey 1988; Harvey 1992; Reddell & Cokendolpher 1995; Harvey et al. 2008"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides warramboo","female","2+1","Absent","3 pairs","Absent","Divided","Absent","Absent","Strongly","0.7","0.7","Present","No data","4 small teeth","3 setae","Absent","Absent","Absent","2 pairs","Present","No data",NA,"4.76","4.76","No data","No data","~ 90°","No data","No data","Strict troglobite","Australia","Australia","Old World","Abrams et al. 2020"
"Hubbardiidae","Hubbardiinae","Draculoides","Draculoides warramboo","male","2+1","Absent","3 pairs","Absent","Divided","Absent","Absent","Strongly","0.7","0.7","Present","No data","4 small teeth","3 setae","Absent","Absent","Absent",NA,NA,NA,"Oblong","3.46","3.51","No data","No data","~ 90°","No data","No data","Strict troglobite","Australia","Australia","Old World","Abrams et al. 2020"
